student_ID,province,gender,birth_year,nation,politics,left_sight,right_sight,color_blind,height,weight,stu_type,lan_type,sub_type,test_year,high_school,grade,admit_grade,admit_rank,center_grade,school_num,school_admit_rank,department,reward_score,reward_type,high_rank,rank_var,progress,patent,social,prize,competition,GPA,test_tag,test_ID
6520905ee393ca7c7dc7,宁夏,女,1997,汉族,中国共产主义青年团团员,4.80 ,5.00 ,非色盲,163,55,农村应届,英语,文史,2016,中卫市第一中学,626,626.24111,9.00E-01,-1.33E+00,3.00E+00,7.72E-01,新闻与传播学院,20.00 ,筑梦,0.002816901,1.06067E-06,0.000448636,,1,,,3.57018,,
c5f7d43ab8328c3108c6,北京,男,1997,汉族,中国共产主义青年团团员,0.50 ,0.50 ,非色盲,178,68,城镇应届,英语,理工,2016,北京师范大学附属实验中学,668,668,8.32E-01,-6.48E-01,5.70E+01,5.73E-01,信息科学技术学院,60.00 ,自主,0.446153846,0.017948564,0.377403846,,1,3,0,3.47444,,
78a1a12f2ba616373b7b,广西,女,1997,汉族,中国共产主义青年团团员,,,非色盲,164,54,城镇应届,英语,文史,2015,广西师大附属外国语学校,654,654.999988,4.00E-01,3.80E-01,1.30E+01,5.79E-01,经济学院,30.00 ,自主,0.016129032,7.94162E-05,0.010269657,,2,5,0,3.63056,,
67349330bfce350d0444,北京,女,1997,汉族,中国共产主义青年团团员,4.40 ,4.40 ,非色盲,171,53,城镇应届,英语,理工,2016,北京市第四中学,678,688.001,1.32E-01,8.60E-01,8.40E+01,5.02E-01,元培学院,20.00 ,博雅,0.016556291,0.000475967,-0.006520632,,2,5,0,3.81983,,
dfcdedc8922db1978f09,重庆,女,1998,苗族,中国共产主义青年团团员,4.50 ,4.60 ,非色盲,162,54,城镇应届,英语,理工,2015,重庆市育才中学校,692,702.29012,1.04E-01,1.10E+00,4.00E+00,4.35E-01,信息科学技术学院,0.00 ,普通,0.002314815,0.000910773,-0.084927984,,,,,2.69939,,
ad20d8cba562fcfce20f,广东,女,1998,汉族,中国共产主义青年团团员,4.10 ,4.10 ,非色盲,169,56,城镇应届,英语,文史,2016,珠海市第一中学,637,637.999984,3.33E-01,7.38E-01,8.00E+00,4.92E-01,历史学系,0.00 ,普通,0.027097902,7.82526E-05,0.020447861,,,7,0,3.58831,,
1c25e28d985cd02b2921,河南,男,1996,汉族,中国共产主义青年团团员,1.00 ,1.30 ,非色盲,182,72,农村往届,英语,理工,2015,周口市郸城县一高,657,657.1011461,7.85E-01,-4.22E-01,2.10E+01,4.93E-01,信息管理系,30.00 ,筑梦,0.00130719,2.28619E-07,-0.00119281,,4,8,2,2.78314,,
6e1b982b5cd4db22c0c9,天津,女,1996,汉族,中国共产主义青年团团员,0.60 ,0.50 ,非色盲,158,43,城镇应届,英语,文史,2015,耀华中学,655,655.13,7.14E-01,-7.39E-01,9.00E+00,6.25E-01,中国语言文学系,0.00 ,普通,,,,,4,8,0,3.49779,,
2ccbe3017f014d1db453,北京,女,1996,土家族,中国共产主义青年团团员,4.20 ,4.30 ,非色盲,155,50,城镇应届,英语,文史,2015,中央民族大学附属中学,670,670,6.59E-01,-8.93E-02,3.60E+01,4.80E-01,信息管理系,60.00 ,博雅,0.004347826,2.07044E-07,0.001137553,,1,10,0,3.69031,,
62a58419a2d4475f0fce,四川,女,1997,汉族,中国共产主义青年团团员,4.30 ,4.20 ,非色盲,160,51,城镇应届,英语,理工,2015,成都市第七中学,668,668.1372791,2.50E-01,7.46E-01,3.50E+01,5.57E-01,法学院,0.00 ,普通,0.021666667,0.001160937,-0.083271605,,2,3,1,3.64577,,
