学生ID,综合GPA
1351e2a8ee9140935e5e,3.6821886414404723
6dfd920349b8a916ac22,3.4768128075722657
2180875a7b5c7dda9718,3.427262366131764
ef1a837655081da642e6,3.566971593136754
8890952ff9a4e20993c9,3.3056008284758405
ed1f9062e86a79c7a2af,3.589458313860264
1cf7548cc40b0b79f64e,3.14017614164748
031bd3bb008fb4f2c112,3.4742383778874446
fefcaf838ab0e8212dfd,3.1935514286338487
9168ab8d7845669a2127,3.5134524320614497
f101cb94b348c2205ad6,3.4775976584992963
b16b6ed24e53f9fea4dd,3.4649535228425203
e8ee570ea57f4b778139,3.4762286669243627
5bb54454cc5efad653b9,3.449759085524443
9222399166e4c44b283d,3.138752761473616
7e059d4e198ccf274add,3.363011008609675
6bda9c2b8a031cfe4803,3.5226194959765387
2d9baf59b9c182420aef,3.350584069124134
daea515547958f68fe05,3.509211687092025
093ca7c821652c08240e,3.351880936684739
38a0e9d389400ae2c264,3.37935084575242
424f122d6bbaf7c74875,3.4559604125954837
12e5361247ada675ad0b,3.533515290578355
f7526c4b0544a70f581e,3.385387410840088
a4aa551a9c98177255e3,3.4073960633684854
e3d01867f48e5ecfd3d2,3.521137387981164
fa7f80a5d945943e12d6,3.0528577106804433
304492d18a311aba8111,3.626960005161072
426ad57c0a9a3222c1b5,3.48746053725672
b666761dd6fc0c0be18d,3.238929246485406
7bbb8eea0dd7d0de5a59,3.3242210977878717
adab9018092caf697aec,3.5886214450470284
ffc348c87d06e6408336,3.5229736573218258
69a2186136e1155f3c1c,3.23933610898382
62f22a4e6b783dcebfcc,3.2770707021847425
276ba370b101f605b53a,3.6039094977766983
6f7347f6eed315786869,3.565691104328667
93f11e5c0bf33b5248ff,3.6267550194935634
34f0c17b7a9f78536dbd,3.3418625310403343
5d78924134f8a62a8cb2,3.4549549286758783
6aa9b40b0892845670c3,3.3551435901624367
cc637c88352211aaecc9,3.0962913099489904
9bfe7b6e13443cc7346c,3.411504624327784
7b66b76aac857824b75a,3.54112213001591
311061291a8a0d341365,3.377602034097581
44b53c165b6aa2ccd535,2.9456151800725845
304d8513b85b2c35210e,3.504066108340333
8769068b2c46220454c4,3.4326041374133656
bc29208a3bfd2ea49d2c,3.593979810733817
4ba3813bf8bd5d313590,3.4694483499250657
b20b5976497a1ffeebe6,3.620480042347789
75ace52f4f0b7823d978,3.4794888119192993
dcaab860589bdf558a95,3.3165580149187406
d4b4d0d3f0b9f12ad853,3.5537235794629884
591be0bd000288c3d4b6,3.6879040915437002
9da36a4e77afa0c9f60f,3.3888825241365064
7b7f9fc08d73390cc657,3.583807944236157
171a6bebfc01a134f2e0,3.4579856179924433
40dc29f67d3a0ea205e4,2.35815726
5d3c194be290f2c96d77,3.468921703230809
4fb57d342dff7129a443,2.7973947786128646
8dccb5cd67bdc8cc18cd,3.295922708538926
1fd103e8be8beaf4b38e,3.6137464320630577
40b1a18c6ace2fef73a2,3.119429647470003
78b5f15022b9debd33e4,3.310564434134407
9bb5593589a9cf2ebb47,3.5156464471757074
61576e7b94178311e67d,3.2291151735080166
105afdef86e986ef71fc,3.1947082869402847
71e36ceb820c052c9e79,3.5745724527897784
6769267e12182afa549a,3.5685301602708295
7aea3090c4e2934cf740,3.4287577665705857
e745d03ea97e80b218d9,3.5262250980352587
180d0eb23bebb3beeeba,3.211758772428296
235a38131ca4c3b83ba6,3.3974194008868936
7940328321deeef0cf0b,3.7194683887706894
eda94f427518b218ca92,3.416396469618097
8993df6c2e410dbdb754,3.3802202624053055
598a18338c72fa41f2ce,3.4188261182016904
762a0e7f473488afd977,3.335306882167548
366960eca914f11a9ca9,3.1311475442634293
6058363b49731b7b47d9,3.41065756938489
3608b9cfbdb821ac0ae5,3.4408541619341793
4719ab8e0d1c1381f1e2,3.654937074478527
3d5ec8b2cdf122ef075e,3.4971733384744264
ec26dbc067bbaf6b079e,3.2234024643470955
d0ea71633b479a1528d3,3.2293987068829098
e692478d4822fc13d931,3.4400440212094043
971e495b8a2ee5afcf6f,3.33975671864491
dbe83b6fbc611a84cf78,3.430031525292036
3e2855149848b6774a19,3.3605488324222685
e45f891a35ec8e66d989,3.3989285754276533
a56700354881812b5bdd,3.4936762732012503
1533afb2e9e8c7eb8695,3.5815051887727147
c7948f13ae58a2730aac,3.4806418189448856
1987012dd922c70ad4ea,3.3979619967344616
b064d21a1047602daa99,3.634111739275437
0b6bcfd90c44170bf15e,3.3900226441723285
d7082bf936d2888127d5,3.406462017985274
9fc2660d7fa7702a402b,3.432472828942662
c9892c6a398228184ad2,3.5927541338043247
36a656a616bd218786fe,3.430704729930965
77b0ad43dca15956c73e,3.51036913960454
15dea2af09370689dba0,3.2101089057749106
fdba8a1cadd7d4ad8cee,3.2396502132216343
315c1a6f0c46fe4273cf,3.321481230666413
13d1d97002aac017e86a,3.181048392603218
de24917d671e95a1e9dc,3.513951236661476
1aa79a09e52026162d81,3.37793719625029
c1a9ab9f2fc95af22f11,3.33150820642258
ebe7fc2af65b482c3089,3.3326543346517417
d707d60f59dc3b3de193,3.452475024818243
dc229a85d700b2066dd0,3.2988989793338455
